customer_id,age,gender,region,plan,tenure_months,monthly_data_gb,call_minutes,sms_count,download_speed_mbps,latency_ms,dropped_calls_pct,monthly_bill_inr,support_calls,satisfaction_score,churn,total_contact_activity,network_stress_index,bill_per_tenure_month,high_support_flag
CUST10001,52,Male,East,Standard,64,1.19,247.7,32.0,35.0,52.7,3.92,613.14,1,3.5,No,3.477,1.5057142857142858,9.432923076923077,0
CUST10002,47,Female,West,Standard,5,2.73,452.8,24.0,48.21,56.1,3.31,618.04,4,2.2,No,8.528,1.1636589919103921,103.00666666666666,1
CUST10003,30,Male,West,Premium,29,2.06,324.9,94.0,48.17,56.8,1.35,1003.66,3,4.1,No,6.249,1.1791571517542037,33.455333333333336,1
CUST10004,60,Male,South,Standard,33,1.55,334.9,21.0,46.53,57.6,4.13,682.77,0,3.3,Yes,3.3489999999999998,1.2379110251450678,20.081470588235295,0
CUST10005,23,Male,South,Basic,58,6.51,539.1,56.0,38.26,71.6,5.26,442.46,1,1.8,No,6.391,1.8714061683220073,7.499322033898305,0
CUST10006,64,Female,West,Premium,10,15.82,189.1,10.0,25.72,37.6,3.9,1059.37,3,2.2,Yes,4.891,1.4618973561430795,96.30636363636363,1
CUST10007,56,Female,South,Standard,32,6.51,618.5,12.0,49.39,57.8,4.37,690.54,1,3.2,No,7.185,1.1702773840858474,20.925454545454546,0
CUST10008,51,Male,West,Standard,11,15.47,178.4,41.0,36.47,75.6,2.89,780.12,2,2.0,Yes,3.784,2.072936660268714,65.01,1
CUST10009,63,Male,South,Basic,57,8.73,310.7,52.0,49.29,55.25,0.97,502.81,0,4.4,No,3.1069999999999998,1.1209170217082574,8.669137931034482,0
CUST10010,38,Female,North,Standard,46,11.12,776.1,13.0,36.09,57.9,0.77,765.84,0,3.7,No,7.761,1.6043225270157937,16.294468085106384,0
CUST10011,32,Male,North,Standard,36,3.72,632.9,25.0,31.51,45.6,3.08,665.78,2,3.5,Yes,8.329,1.4471596318629005,17.994054054054054,1
CUST10012,26,Female,West,Premium,29,9.4,447.6,9.0,51.51,49.1,2.15,1081.68,0,3.3,No,4.476,0.9532129683556592,36.056000000000004,0
CUST10013,66,Female,North,Standard,12,10.74,260.7,22.0,50.26,40.5,1.79,726.01,1,3.3,No,3.6069999999999998,0.8058097890966972,55.846923076923076,0
CUST10014,38,Male,South,Premium,67,4.6,334.7,44.0,56.69,52.3,2.73,1011.38,5,3.6,No,8.347,0.9225612982889398,14.873235294117647,1
CUST10015,61,Male,South,Standard,47,9.62,443.2,18.0,80.79,84.5,3.48,722.23,0,3.7,No,4.4319999999999995,1.0459215249412055,15.046458333333334,0
CUST10016,35,Female,North,Basic,23,9.66,436.8,21.0,52.16,34.8,1.2,470.55,0,5.0,No,4.368,0.6671779141104295,19.60625,0
CUST10017,67,Male,South,Standard,30,4.68,413.6,11.0,55.28,36.3,2.31,636.61,1,3.1,No,5.136,0.656657018813314,20.535806451612903,0
CUST10018,63,Female,East,Standard,53,3.22,424.5,16.0,31.84,34.2,4.46,456.89,3,3.0,No,7.245,1.0741206030150754,8.460925925925926,1
CUST10019,34,Male,North,Premium,52,3.1,391.4,84.0,28.7,82.6,1.62,1124.09,2,2.3,No,5.914,2.8780487804878048,21.209245283018866,1
CUST10020,43,Female,West,Standard,34,7.07,170.4,26.0,71.74,47.6,3.76,670.81,4,3.3,Yes,5.704,0.6635071090047394,19.165999999999997,1
CUST10021,59,Male,West,Standard,22,8.27,337.0,12.0,34.15,54.6,2.27,702.52,2,2.7,Yes,5.37,1.5988286969253296,30.544347826086955,1
CUST10022,29,Female,South,Standard,48,3.99,594.6,20.0,32.34,48.6,3.4,648.4,1,2.5,No,6.946000000000001,1.50278293135436,13.23265306122449,0
CUST10023,19,Female,North,Premium,48,6.8,183.7,8.0,47.41,39.9,4.01,962.96,0,2.8,No,1.837,0.8415946002952964,19.652244897959186,0
CUST10024,33,Male,East,Premium,44,9.69,395.9,12.0,46.65,51.2,3.62,1092.08,1,3.0,Yes,4.959,1.097534833869239,24.268444444444444,0
CUST10025,48,Female,North,Standard,6,9.99,282.4,64.0,34.46,94.3,3.8,671.93,1,2.2,No,3.824,2.7365060940220545,95.99,0
CUST10026,25,Female,South,Basic,35,18.33,450.0,22.0,43.43,77.3,1.53,482.91,1,3.5,No,5.5,1.779875661984803,13.414166666666667,0
CUST10027,35,Female,West,Standard,45,15.33,360.0,92.0,66.44,41.4,4.03,653.67,1,3.4,No,4.6,0.6231186032510536,14.210217391304347,0
CUST10028,65,Male,West,Basic,69,3.49,695.9,23.0,35.91,65.4,1.86,378.27,1,2.5,No,7.959,1.8212197159565584,5.4038571428571425,0
CUST10029,21,Male,West,Basic,38,19.97,521.2,24.0,27.09,41.7,3.09,424.86,1,3.5,No,6.212000000000001,1.5393133997785162,10.893846153846154,0
CUST10030,20,Male,South,Standard,25,4.73,193.9,38.0,48.2,26.6,3.08,712.13,3,3.9,No,4.939,0.5518672199170125,27.389615384615386,1
CUST10031,40,Female,East,Standard,41,13.19,550.8,4.0,55.38,71.3,3.33,882.12,2,3.6,Yes,7.507999999999999,1.2874684001444563,21.002857142857142,1
CUST10032,18,Female,East,Premium,13,6.99,290.6,28.0,38.69,73.6,3.17,970.77,3,2.3,Yes,5.906000000000001,1.9023003360041355,69.34071428571428,1
CUST10033,19,Male,South,Basic,7,5.11,326.1,24.0,24.27,71.7,1.87,337.99,1,2.0,No,4.261,2.954264524103832,42.24875,0
CUST10034,27,Male,East,Standard,49,2.06,486.5,69.0,36.83,47.5,1.32,710.86,1,3.7,No,5.865,1.2897094759706762,14.2172,0
CUST10035,23,Female,North,Standard,72,5.98,341.5,48.0,47.18,52.3,3.76,644.9,3,3.7,No,6.415,1.1085205595591352,8.834246575342465,1
CUST10036,60,Female,North,Basic,61,2.43,590.7,11.0,65.49,67.0,3.0,485.04,1,3.4,Yes,6.907,1.0230569552603452,7.823225806451613,0
CUST10037,24,Male,South,Basic,43,12.54,290.6,59.0,32.45,61.3,4.06,458.73,3,2.3,No,5.906000000000001,1.8890600924499228,10.425681818181818,1
CUST10038,45,Male,North,Standard,3,6.51,318.6,20.0,46.73,48.7,2.75,721.77,0,2.9,Yes,3.1860000000000004,1.0421570725444043,180.4425,0
CUST10039,54,Female,North,Basic,72,3.98,311.9,13.0,58.13,29.1,1.25,413.09,1,5.0,No,4.119,0.500602098744194,5.658767123287671,0
CUST10040,50,Female,West,Standard,33,8.14,328.2,28.0,12.28,56.8,3.86,739.52,1,1.7,No,4.282,4.625407166123779,21.750588235294117,0
CUST10041,52,Female,West,Standard,21,4.17,627.9,21.0,63.51,72.3,2.39,661.51,1,3.0,No,7.279,1.1384034010392063,30.06863636363636,0
CUST10042,36,Female,East,Premium,65,4.44,543.2,72.0,30.26,35.8,3.18,948.32,1,3.5,Yes,6.432,1.1830799735624586,14.368484848484849,0
CUST10043,64,Male,West,Standard,54,11.06,737.8,31.0,52.98,65.2,2.09,704.42,0,2.4,No,7.377999999999999,1.2306530766326917,12.807636363636362,0
CUST10044,21,Male,West,Basic,54,6.52,838.2,28.0,51.7,60.3,4.61,368.17,1,3.3,No,9.382,1.1663442940038684,6.694,0
CUST10045,23,Male,North,Premium,20,20.71,244.5,46.0,64.27,67.0,1.84,1095.1,0,4.1,No,2.445,1.0424770499455422,52.147619047619045,0
CUST10046,62,Male,South,Premium,72,4.89,442.7,53.0,56.26,69.0,2.43,880.07,1,3.8,No,5.427,1.2264486313544258,12.055753424657535,0
CUST10047,21,Male,South,Standard,33,12.8,218.3,42.0,12.34,43.9,2.92,701.37,2,3.1,No,4.183,3.5575364667747165,20.628529411764706,1
CUST10048,27,Male,North,Basic,39,7.12,290.0,66.0,36.23,29.1,1.6,483.49,0,3.9,No,2.9,0.8032017664918577,12.087250000000001,0
CUST10049,27,Male,West,Standard,55,11.22,316.6,38.0,50.07,46.5,3.16,732.99,1,2.8,No,4.166,0.9286998202516477,13.089107142857143,0
CUST10050,19,Female,South,Basic,48,5.0,239.7,28.0,48.2,69.2,4.57,461.47,3,2.3,No,5.397,1.4356846473029046,9.417755102040816,1
CUST10051,24,Male,South,Basic,13,6.47,240.7,58.0,55.16,46.3,2.26,434.24,3,3.2,Yes,5.407,0.8393763596809282,31.017142857142858,1
CUST10052,47,Female,North,Basic,22,6.2,404.0,23.0,59.84,43.9,3.23,500.54,1,3.8,No,5.04,0.7336229946524063,21.762608695652176,0
CUST10053,52,Male,North,Standard,27,3.88,211.0,25.0,57.13,25.9,0.1,723.14,0,5.0,No,2.11,0.4533520042009452,25.826428571428572,0
CUST10054,22,Male,West,Standard,69,10.28,581.6,82.0,44.79,83.0,2.76,735.22,3,3.6,Yes,8.815999999999999,1.8530922080821612,10.503142857142857,1
CUST10055,67,Female,North,Standard,52,10.2,264.8,76.0,20.3,68.2,2.46,761.22,1,2.9,No,3.648,3.3596059113300494,14.362641509433963,0
CUST10056,22,Female,North,Standard,27,6.51,935.7,24.0,41.17,67.3,1.9,749.25,2,3.8,No,11.357000000000001,1.634685450570804,26.758928571428573,1
CUST10057,53,Female,South,Standard,53,18.16,348.8,18.0,54.25,70.5,3.99,733.79,4,2.5,Yes,7.4879999999999995,1.2995391705069124,13.588703703703702,1
CUST10058,59,Male,South,Standard,54,17.15,443.0,68.0,31.64,64.2,2.44,677.99,1,2.7,No,5.43,2.029077117572693,12.32709090909091,0
CUST10059,45,Male,East,Basic,29,5.24,196.8,43.0,57.47,51.1,2.6,453.56,1,3.9,No,2.968,0.8891595615103532,15.118666666666666,0
CUST10060,43,Male,South,Basic,30,8.52,737.1,31.0,61.63,52.4,2.39,480.15,2,3.5,No,9.371,0.8502352750283952,15.488709677419354,1
CUST10061,23,Female,North,Standard,65,4.46,631.5,20.0,49.9,48.2,0.69,735.74,2,4.3,No,8.315000000000001,0.965931863727455,11.147575757575758,1
CUST10062,30,Male,North,Standard,41,6.79,483.4,31.0,5.0,97.2,1.55,638.24,0,1.6,No,4.834,19.44,15.196190476190477,0
CUST10063,62,Male,West,Standard,11,4.53,187.6,24.0,28.83,63.9,3.86,626.33,0,1.9,No,1.876,2.2164412070759627,52.19416666666667,0
CUST10064,36,Male,East,Standard,52,6.51,467.9,15.0,76.29,47.6,0.48,789.25,2,5.0,No,6.678999999999999,0.6239349849259405,14.891509433962264,1
CUST10065,19,Female,East,Standard,43,6.51,228.1,27.0,39.8,62.4,1.96,695.91,2,3.8,Yes,4.281000000000001,1.5678391959798996,15.816136363636362,1
