customer_id,age,gender,region,plan,tenure_months,monthly_data_gb,call_minutes,sms_count,download_speed_mbps,latency_ms,dropped_calls_pct,monthly_bill_inr,support_calls,satisfaction_score,churn,monthly_data_gb_norm,call_minutes_norm,download_speed_mbps_norm,latency_ms_norm,monthly_bill_inr_norm
CUST10001,52,Male,East,Standard,64,1.19,247.7,32.0,35.0,52.7,3.92,613.14,1,3.5,No,0.004830917874396134,0.24634858812074,0.35498757543485976,0.42359550561797754,0.33121891067173853
CUST10002,47,Female,West,Standard,5,2.73,452.8,24.0,48.21,56.1,3.31,618.04,4,2.2,No,0.04025764895330112,0.46824624039813917,0.5113004378180097,0.46179775280898877,0.33633950591481004
CUST10003,30,Male,West,Premium,29,2.06,324.9,94.0,48.17,56.8,1.35,1003.66,3,4.1,No,0.024844720496894408,0.3298712539218868,0.5108271210507632,0.46966292134831455,0.7393199013501652
CUST10004,60,Male,South,Standard,33,1.55,334.9,21.0,46.53,57.6,4.13,682.77,0,3.3,Yes,0.013112491373360938,0.34069025208265713,0.4914211335936575,0.4786516853932584,0.4039836140952222
CUST10005,23,Male,South,Basic,58,6.51,539.1,56.0,38.26,71.6,5.26,442.46,1,1.8,No,0.12721417069243152,0.561614194525587,0.3935628919654478,0.6359550561797752,0.1528549931028717
CUST10006,64,Female,West,Premium,10,15.82,189.1,10.0,25.72,37.6,3.9,1059.37,3,2.2,Yes,0.3413848631239935,0.18294925889862598,0.24517808543367645,0.2539325842696629,0.7975379342055762
CUST10007,56,Female,South,Standard,32,6.51,618.5,12.0,49.39,57.8,4.37,690.54,1,3.2,No,0.12721417069243152,0.6475170399221033,0.5252632824517808,0.48089887640449436,0.41210341512352133
CUST10008,51,Male,West,Standard,11,15.47,178.4,41.0,36.47,75.6,2.89,780.12,2,2.0,Yes,0.3333333333333333,0.17137293086660177,0.37238196663116785,0.6808988764044943,0.5057162563223677
CUST10009,63,Male,South,Basic,57,8.73,310.7,52.0,49.29,55.25,0.97,502.81,0,4.4,No,0.17828387393604783,0.314508276533593,0.5240799905336646,0.45224719101123595,0.2159219161476404
CUST10010,38,Female,North,Standard,46,11.12,776.1,13.0,36.09,57.9,0.77,765.84,0,3.7,No,0.2332643202208419,0.8180244509358434,0.36788545734232636,0.4820224719101123,0.490793378756845
CUST10011,32,Male,North,Standard,36,3.72,632.9,25.0,31.51,45.6,3.08,665.78,2,3.5,Yes,0.06303197607545433,0.6630963972736125,0.3136906874926044,0.3438202247191011,0.3862287338544497
CUST10012,26,Female,West,Premium,29,9.4,447.6,9.0,51.51,49.1,2.15,1081.68,0,3.3,No,0.19369680239245454,0.4626203613545386,0.5503490711158442,0.3831460674157304,0.8208523178531122
