Customer_ID,Age,Gender,Region,Plan,Tenure_Months,Monthly_Data_GB,Call_Minutes,SMS_Count,Download_Speed_Mbps,Latency_ms,Dropped_Calls_pct,Monthly_Bill_INR,Support_Calls,Satisfaction_Score,Churn
CUST10001,52,Male,East,Standard,64,1.19,247.7,32.0,35.0,52.7,3.92,613.14,1,3.5,No
CUST10002,47,Female,West,Standard,5,2.73,452.8,24.0,48.21,56.1,3.31,618.04,4,2.2,No
CUST10003,30,Male,West,Premium,29,2.06,324.9,94.0,48.17,56.8,1.35,1003.66,3,4.1,No
CUST10004,60,Male,South,Standard,33,1.55,334.9,21.0,46.53,57.6,4.13,682.77,0,3.3,Yes
CUST10005,23,Male,South,Basic,58,,539.1,56.0,38.26,71.6,5.26,442.46,1,1.8,No
CUST10006,64,Female,West,Premium,10,15.82,189.1,10.0,25.72,37.6,3.9,1059.37,3,2.2,Yes
CUST10007,56,Female,South,Standard,32,,618.5,12.0,49.39,57.8,4.37,690.54,1,3.2,No
CUST10008,51,Male,West,Standard,11,15.47,178.4,41.0,36.47,75.6,2.89,780.12,2,2.0,Yes
CUST10009,63,Male,South,Basic,57,8.73,310.7,52.0,49.29,-5.0,0.97,502.81,0,4.4,No
CUST10010,38,Female,North,Standard,46,11.12,776.1,13.0,36.09,57.9,0.77,765.84,0,3.7,No
CUST10011,32,Male,North,Standard,36,3.72,632.9,25.0,31.51,45.6,3.08,665.78,2,3.5,Yes
CUST10012,26,Female,West,Premium,29,9.4,447.6,9.0,51.51,49.1,2.15,1081.68,0,3.3,No
CUST10013,66,Female,North,Standard,12,10.74,260.7,22.0,50.26,40.5,1.79,726.01,1,,No
CUST10014,38,Male,South,Premium,67,4.6,334.7,44.0,56.69,52.3,2.73,1011.38,5,3.6,No
CUST10015,61,Male,South,Standard,47,9.62,443.2,18.0,80.79,84.5,3.48,722.23,0,3.7,No
CUST10016,35,Female,North,Basic,23,9.66,436.8,21.0,52.16,34.8,1.2,470.55,0,5.0,No
CUST10017,67,Male,South,Standard,30,4.68,413.6,11.0,55.28,36.3,2.31,636.61,1,3.1,No
CUST10018,63,Female,East,,53,3.22,424.5,16.0,31.84,34.2,4.46,456.89,3,3.0,No
CUST10019,34,Male,North,Premium,52,3.1,391.4,84.0,28.7,82.6,1.62,1124.09,2,2.3,No
CUST10020,43,Female,West,Standard,34,7.07,170.4,26.0,71.74,47.6,3.76,670.81,4,,Yes
CUST10021,59,Male,West,Standard,22,8.27,337.0,12.0,34.15,54.6,2.27,702.52,2,2.7,Yes
CUST10022,29,Female,South,Standard,48,3.99,594.6,20.0,32.34,48.6,3.4,648.4,1,2.5,No
CUST10023,19,Female,North,Premium,48,6.8,183.7,8.0,47.41,39.9,4.01,962.96,0,2.8,No
CUST10024,33,Male,East,Premium,44,9.69,395.9,12.0,46.65,51.2,3.62,1092.08,1,3.0,Yes
CUST10025,48,Female,North,Standard,6,9.99,282.4,64.0,34.46,94.3,3.8,671.93,1,2.2,No
CUST10026,25,Female,South,Basic,35,18.33,450.0,22.0,43.43,77.3,1.53,482.91,1,3.5,No
CUST10027,35,Female,West,Standard,45,15.33,360.0,92.0,66.44,41.4,4.03,653.67,1,3.4,No
CUST10028,65,Male,West,Basic,69,3.49,695.9,23.0,35.91,65.4,1.86,378.27,1,2.5,No
CUST10029,21,Male,West,Basic,38,19.97,521.2,24.0,27.09,41.7,3.09,424.86,1,3.5,No
CUST10030,20,Male,South,Standard,25,4.73,193.9,38.0,-10.0,26.6,3.08,712.13,3,3.9,No
CUST10031,40,Female,East,Standard,41,13.19,550.8,4.0,55.38,71.3,3.33,882.12,2,3.6,Yes
CUST10032,18,Female,East,Premium,13,6.99,290.6,28.0,38.69,73.6,3.17,970.77,3,2.3,Yes
CUST10033,19,Male,South,Basic,7,5.11,326.1,24.0,24.27,71.7,1.87,337.99,1,2.0,No
CUST10034,27,Male,East,Standard,49,2.06,486.5,69.0,36.83,47.5,1.32,710.86,1,3.7,No
CUST10035,23,Female,North,Standard,72,5.98,341.5,48.0,47.18,52.3,3.76,644.9,3,3.7,No
CUST10036,60,Female,North,Basic,61,2.43,590.7,11.0,65.49,67.0,3.0,485.04,1,3.4,Yes
CUST10037,24,Male,South,Basic,43,12.54,290.6,59.0,32.45,61.3,4.06,458.73,3,2.3,No
CUST10038,45,Male,North,Standard,3,,318.6,20.0,46.73,48.7,2.75,721.77,0,2.9,Yes
CUST10039,54,Female,North,Basic,72,3.98,311.9,13.0,58.13,29.1,1.25,413.09,1,5.0,No
CUST10040,50,Female,West,Standard,33,8.14,328.2,28.0,12.28,56.8,3.86,739.52,1,1.7,No
CUST10041,52,Female,West,Standard,21,4.17,627.9,21.0,63.51,72.3,2.39,661.51,1,3.0,No
CUST10042,36,Female,East,Premium,65,4.44,543.2,72.0,30.26,35.8,3.18,948.32,1,3.5,Yes
CUST10043,64,Male,West,Standard,54,11.06,737.8,31.0,52.98,65.2,2.09,704.42,0,2.4,No
CUST10044,21,Male,West,Basic,54,6.52,838.2,28.0,51.7,60.3,4.61,368.17,1,3.3,No
CUST10045,23,Male,North,Premium,20,20.71,244.5,46.0,64.27,67.0,1.84,1095.1,0,4.1,No
CUST10046,62,Male,South,Premium,72,4.89,442.7,53.0,56.26,69.0,2.43,880.07,1,3.8,No
CUST10047,21,Male,South,Standard,33,12.8,218.3,42.0,12.34,43.9,2.92,701.37,2,3.1,No
CUST10048,27,Male,North,Basic,39,7.12,290.0,66.0,36.23,29.1,1.6,483.49,0,3.9,No
CUST10049,27,Male,West,Standard,55,11.22,316.6,38.0,50.07,46.5,3.16,732.99,1,2.8,No
CUST10050,19,Female,South,Basic,48,5.0,239.7,28.0,-10.0,69.2,4.57,461.47,3,2.3,No
CUST10051,24,Male,South,Basic,13,6.47,240.7,58.0,55.16,46.3,2.26,434.24,3,3.2,Yes
CUST10052,47,Female,North,Basic,22,6.2,404.0,23.0,59.84,43.9,3.23,500.54,1,3.8,No
CUST10053,52,Male,North,Standard,27,3.88,211.0,25.0,57.13,25.9,0.1,723.14,0,5.0,No
CUST10054,22,Male,West,Standard,69,10.28,581.6,82.0,44.79,83.0,2.76,735.22,3,3.6,Yes
CUST10055,67,Female,North,Standard,52,10.2,264.8,76.0,20.3,68.2,2.46,761.22,1,2.9,No
CUST10056,22,Female,North,Standard,27,,935.7,24.0,41.17,67.3,1.9,749.25,2,3.8,No
CUST10057,53,Female,South,Standard,53,18.16,348.8,18.0,54.25,70.5,3.99,733.79,4,2.5,Yes
CUST10058,59,Male,South,Standard,54,17.15,443.0,68.0,31.64,64.2,2.44,677.99,1,2.7,No
CUST10059,45,Male,East,Basic,29,5.24,196.8,43.0,57.47,51.1,2.6,453.56,1,3.9,No
CUST10060,43,Male,South,Basic,30,8.52,737.1,31.0,61.63,52.4,2.39,480.15,2,3.5,No
CUST10061,23,Female,North,Standard,65,4.46,631.5,20.0,49.9,48.2,0.69,735.74,2,4.3,No
